cliente_id,nome,cpf,data_cadastro,data_cancelamento,cidade,estado,plano,valor_mensalidade,notificacoes_7d,transacoes_30d,ticket_medio_30d,abriu_chamado,tempo_resposta_chamado_h,churn_30d
CLI001618,Yasmin Pinto,615.708.019-14,02-08-25,,São José dos Campos,SP,Básico,"R$ 19,90",8,17.0,44.17,False,,False
CLI009937,Carla Mendes,04429568996,2024-04-11,,Salvador,BA,Básico,"19,90",0,23.0,237.28,False,,False
CLI002169,Vítor Gomes,712.403.957-06,13/08/2024,,Itabaiana,SE,PREMIUM ,49.90,1,49.0,52.79,False,,False
CLI001091,Sabrina Carvalho,630.856.538-09,21/05/2024,,Floriano,PI,Premium,"R$ 49,90",1,75.0,107.09,False,,False
CLI007757,Sabrina Carvalho,59532897052,2025-07-15,,Campinas,SP,Premium,"49,90",1,60.0,668046.87,False,,False
CLI008631,Bruno Vieira,958.801.904-82,2024-09-29,,Recife,PE,Básico,"19,90",12,43.0,77.55,não,,False
CLI006569,Eduardo Mendes,785.020.954-12,16-06-24,20/04/2026,Aracaju,SE,Premium,49.90,0,53.0,101.63,True,20.3,True
CLI006609,Fábio Ferreira,525.015.356-86,05/12/2024,,São Luís,MA,Básico,"19,90",0,0.0,0.0,não,,False
CLI002311,Marcos Martins,445.797.678-83,26/04/2025,,Nova Iguaçu,RJ,Básico,"19,90",1,0.0,0.0,True,2.6,False
CLI005958,Bruno Gomes,629.037.511-95,21/04/2025,,Belo Horizonte,MG,Premium,49.90,0,36.0,29.74,False,,False
CLI000533,Sérgio Vieira,551.195.088-38,30-04-25,,Bragança,PA,Básico,19.90,3,18.0,39.24,False,,False
CLI000766,Rafael Castro,446.695.896-41,30/11/2025,,Estância,SE,Básico,"19,90",6,36.0,31.49,não,,False
CLI001356,Rafael Barbosa,194.132.866-21,30/04/2024,,São Gonçalo,RJ,Básico,19.90,0,37.0,29.87,False,,False
CLI005838,Maria Almeida,046.186.461-14,04/08/2024,,Vitória,ES,Premium,49.90,3,,0.0,False,,False
CLI000081,Clara Ferreira,336.792.151-76,28/05/2024,30/04/2026,São Paulo,SP,Básico,"19,90",10,33.0,99.15,False,,True
